#{"t_start": 1745855726.9573295, "env_id": "None"}
r,l,t
-113.651075,24,0.079668
-168.81,24,0.10272
-118.620546,24,0.117722
-293.6418,24,0.132354
-241.08375,24,0.775547
3.399612,24,1.532475
41.505121,24,2.255268
38.932116,24,3.006365
51.1632,24,3.774133
44.064,24,4.560574
39.5568,24,5.649647
51.0768,24,6.460946
51.0912,24,7.265978
57.6,24,8.107658
43.4448,24,8.951499
56.9376,24,9.721515
50.6736,24,10.527351
53.3664,24,11.35499
38.16,24,12.194007
55.4112,24,12.999462
31.5936,24,13.773184
63.6336,24,14.544628
55.1952,24,15.323429
63.5904,24,16.095422
41.832,24,16.86921
49.2768,24,17.652663
55.512,24,18.461779
59.1984,24,19.275754
47.4768,24,20.035725
51.590579,24,20.798455
49.4352,24,21.559853
53.712,24,22.32447
32.451309,24,23.120203
41.7312,24,23.869232
39.3264,24,24.63482
66.8016,24,25.390431
39.7728,24,26.170704
32.313973,24,27.06459
41.904,24,28.026672
87.6096,24,28.758806
55.4112,24,29.529409
44.6112,24,30.430094
41.781465,24,31.211966
41.04,24,31.943908
51.039166,24,32.718807
38.124132,24,33.483273
72.144,24,34.236378
56.376,24,34.982428
38.875977,24,35.742769
79.6752,24,36.509247
54.6192,24,37.280276
49.28299,24,38.057504
50.2992,24,38.810126
37.72688,24,39.571402
46.29624,24,40.349566
51.9552,24,41.139678
96.0336,24,41.898456
54.8352,24,42.662786
45.5184,24,43.431717
53.208,24,44.202327
65.2752,24,44.988103
42.648345,24,45.736068
56.687812,24,46.498164
47.385557,24,47.262978
43.6032,24,48.069411
56.1744,24,48.829387
56.9376,24,49.603998
50.867262,24,50.400065
29.529058,24,51.176934
65.6928,24,51.923285
53.1072,24,52.683497
35.381722,24,53.432663
58.377393,24,54.220549
51.7536,24,54.99374
40.83859,24,55.724706
69.264,24,56.490084
27.489654,24,57.250415
42.898403,24,58.03419
56.2608,24,58.775211
54.556974,24,59.535269
56.9376,24,60.327538
67.4208,24,61.092842
53.84662,24,61.839579
38.941387,24,62.628777
55.3824,24,63.421928
83.8944,24,64.179116
44.028843,24,64.9422
44.956402,24,65.684244
59.3424,24,66.471382
62.9856,24,67.246538
26.503556,24,67.999808
59.3424,24,68.764972
56.831923,24,69.518304
52.531057,24,70.271149
60.770397,24,71.032019
47.603595,24,71.760976
93.0672,24,72.518378
92.0592,24,73.290953
55.5984,24,74.010556
45.582639,24,74.752117
31.619439,24,75.518006
82.9584,24,76.272719
45.62257,24,77.038187
39.11822,24,77.806398
52.1712,24,78.656107
72.040131,24,79.417434
41.837202,24,80.180822
90.9504,24,81.01359
76.660037,24,81.783289
41.405685,24,82.550654
51.113697,24,83.331985
29.943391,24,84.15477
56.9376,24,84.91394
60.1632,24,85.652645
65.952,24,86.424778
97.023593,24,87.33641
61.8048,24,88.203298
20.496251,24,88.955697
72.144,24,89.709498
36.17591,24,90.463971
45.692776,24,91.25086
58.9968,24,92.012518
46.263848,24,92.765798
64.9008,24,93.581244
14.169627,24,94.379124
52.5888,24,95.144939
85.447714,24,95.882654
56.2752,24,96.653718
51.9552,24,97.430675
56.2608,24,98.365481
92.88,24,99.13507
79.2,24,99.910219
65.1744,24,100.672127
88.010076,24,101.517776
65.6928,24,102.275233
37.407853,24,103.051341
53.118259,24,103.805891
81.9936,24,104.57841
56.5632,24,105.338565
96.0336,24,106.100337
60.9408,24,106.870865
47.88,24,107.655882
48.45665,24,108.458247
55.4112,24,109.243996
54.0508,24,110.045499
82.9872,24,110.778664
39.779674,24,111.549292
47.9376,24,112.309394
59.171744,24,113.08957
67.7808,24,113.831105
24.130212,24,114.605167
24.818573,24,115.395952
53.712,24,116.146287
45.978794,24,116.90186
52.5888,24,117.645791
55.852425,24,118.419712
46.6848,24,119.203525
64.9008,24,119.934291
47.744264,24,120.682003
38.65418,24,121.415278
55.2096,24,122.166135
39.989033,24,122.894901
47.414955,24,123.641557
50.205007,24,124.430282
49.616461,24,125.188025
57.484087,24,125.932871
58.015183,24,126.682188
46.494333,24,127.469301
58.1328,24,128.23787
64.2816,24,129.03124
111.500867,24,129.79752
58.675508,24,130.541084
46.006143,24,131.332644
40.609449,24,132.124788
50.959121,24,132.890538
96.0336,24,133.652644
44.005472,24,134.414762
101.835928,24,135.200008
60.4368,24,135.968912
64.885263,24,136.730939
36.134027,24,137.5223
2.045673,24,138.291497
52.1712,24,139.108418
42.1632,24,139.902627
66.1104,24,140.672431
50.350482,24,141.423889
48.043895,24,142.186241
77.701781,24,142.942723
55.2096,24,143.717514
107.810839,24,144.472373
55.7568,24,145.277786
81.55093,24,146.036841
56.16,24,146.810217
42.041565,24,147.839687
53.3232,24,148.615288
38.16,24,149.369769
32.761317,24,150.161222
41.7456,24,150.900051
69.819078,24,151.688122
37.519842,24,152.4359
87.6096,24,153.227137
54.2736,24,153.986391
53.2944,24,154.760261
34.0416,24,155.532127
38.16,24,156.308134
42.1632,24,157.072025
44.6112,24,157.804899
55.296,24,158.552817
82.9584,24,159.317047
41.8752,24,160.091411
56.16,24,160.869153
59.0112,24,161.64304
48.905991,24,162.390638
66.6,24,163.171262
44.709029,24,163.900194
56.1744,24,164.677092
56.736,24,165.448677
44.5536,24,166.351807
82.9584,24,167.128788
88.63525,24,167.864212
42.1632,24,168.6707
65.6928,24,169.445832
69.111954,24,170.251075
46.256476,24,170.973532
54.6192,24,171.754367
46.0944,24,172.546958
122.864519,24,173.286644
38.181722,24,174.01419
59.3424,24,174.824386
56.5632,24,175.62079
52.086968,24,176.365153
51.876249,24,177.12015
49.946771,24,177.882478
72.144,24,178.658547
68.310009,24,179.412589
57.6288,24,180.182761
38.9376,24,180.950392
49.0608,24,181.72562
43.272,24,182.485613
98.653177,24,183.252541
46.673799,24,184.005439
65.859947,24,184.792104
53.712,24,185.541101
92.88,24,186.300667
88.039367,24,187.072861
57.168677,24,187.840568
59.272802,24,188.59482
55.1232,24,189.344705
67.027459,24,190.135694
42.248423,24,190.906948
64.6128,24,191.673757
67.945909,24,192.452377
59.976,24,193.227374
59.3424,24,193.968482
50.1264,24,194.724872
54.6768,24,195.465672
49.2768,24,196.211348
53.9856,24,196.960461
87.383555,24,197.757076
46.0944,24,198.512298
87.379235,24,199.322002
50.1264,24,200.042426
84.708175,24,200.815289
46.148603,24,201.58497
87.4512,24,202.370087
72.8064,24,203.152341
44.064,24,203.893852
45.4464,24,204.66472
58.884622,24,205.428653
51.7536,24,206.185759
56.0736,24,206.936323
84.925419,24,207.942161
47.201209,24,208.723266
137.985149,24,209.492262
