time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
4,96,-173.68085524999998,1461,24.0,0,,,,,,
8,192,-106.49629024999999,65,24.0,2,91,-4.286678314208984,0.0003,0.00047643212019465864,0.9796156287193298,1379.403076171875
12,288,-55.50912683333333,45,24.0,6,187,-10.325493812561035,0.0003,0.0073439739644527435,0.9919440746307373,768.5770263671875
16,384,-28.564745124999998,39,24.0,9,283,-12.703468322753906,0.0003,-0.021288594231009483,1.0219743251800537,216.3104248046875
20,480,-12.971236099999999,37,24.0,12,379,-13.674891471862793,0.0003,-0.029411161318421364,1.0496106147766113,102.70602416992188
24,576,-1.8921634166666668,35,24.0,16,475,-16.766639709472656,0.0003,-0.00041666493052616715,1.062428593635559,66.63968658447266
28,672,5.728831357142857,34,24.0,19,571,-11.675880432128906,0.0003,0.022875063121318817,1.053283452987671,27.632061004638672
32,768,11.331933031250001,34,24.0,22,667,-11.00300407409668,0.0003,0.014410644769668579,1.0343953371047974,117.48089599609375
36,864,15.081454611111111,34,24.0,25,763,-10.615655899047852,0.0003,0.007980801165103912,1.0136547088623047,35.753196716308594
40,960,18.613318475000003,33,24.0,28,859,-11.235879898071289,0.0003,-0.00737407524138689,0.9891815781593323,83.0575942993164
44,1056,21.076741000000002,33,24.0,31,955,-8.90467643737793,0.0003,-0.023597946390509605,0.962691068649292,81.2197036743164
48,1152,23.855414624999998,32,24.0,34,1051,-6.648463249206543,0.0003,-0.045251231640577316,0.9349080324172974,35.288352966308594
52,1248,26.298332096153842,32,24.0,37,1147,-6.414824962615967,0.0003,-0.073440320789814,0.9073418378829956,11.072470664978027
56,1344,27.746264089285717,32,24.0,41,1243,-8.325573921203613,0.0003,-0.07951638847589493,0.8799999356269836,42.579620361328125
60,1440,30.05643315,32,24.0,44,1339,-8.504678726196289,0.0003,-0.10643530637025833,0.8533985018730164,47.52496337890625
64,1536,31.490357859375003,32,24.0,47,1435,-6.304205894470215,0.0003,-0.1313467174768448,0.8278767466545105,57.858001708984375
68,1632,32.69066713235295,32,24.0,50,1531,-8.499526023864746,0.0003,-0.17716029286384583,0.8027129173278809,50.669925689697266
72,1728,33.426057569444446,32,24.0,53,1627,-5.703305244445801,0.0003,-0.1547878384590149,0.7781251668930054,8.355106353759766
76,1824,34.56460168421053,32,24.0,56,1723,-5.27607536315918,0.0003,-0.18945936858654022,0.7550259828567505,14.131214141845703
80,1920,35.101444487500004,32,24.0,59,1819,-6.568045616149902,0.0003,-0.21784816682338715,0.7333036661148071,7.2099714279174805
84,2016,36.015023404761905,32,24.0,62,1915,-7.313525676727295,0.0003,-0.23539675772190094,0.712226927280426,51.48958969116211
88,2112,36.971863761363636,32,24.0,65,2011,-6.095130920410156,0.0003,-0.2431585043668747,0.6919893026351929,34.08536911010742
92,2208,37.627151815217395,32,24.0,68,2107,-6.753216743469238,0.0003,-0.27673396468162537,0.6730177402496338,6.953124046325684
96,2304,38.32744728125,32,24.0,71,2203,-6.389155387878418,0.0003,-0.2263992577791214,0.6540717482566833,34.940818786621094
100,2400,39.65742378,32,24.0,74,2299,-7.2491960525512695,0.0003,-0.29423341155052185,0.6364982724189758,9.636556625366211
104,2496,48.59784428000002,32,24.0,77,2395,-6.907503128051758,0.0003,-0.2903284728527069,0.6196981072425842,5.3766021728515625
108,2592,52.740302619999994,32,24.0,80,2491,-6.893153667449951,0.0003,-0.24507522583007812,0.6042280197143555,65.7536392211914
112,2688,52.87292271999999,31,24.0,84,2587,-10.34151554107666,0.0003,-0.2627876102924347,0.5889574885368347,9.364048957824707
116,2784,53.582950649999994,31,24.0,87,2683,-7.106553554534912,0.0003,-0.27359843254089355,0.5747787952423096,6.93464469909668
120,2880,53.51304826,31,24.0,90,2779,-6.455598831176758,0.0003,-0.33011099696159363,0.560720682144165,12.942716598510742
124,2976,53.531462499999996,31,24.0,93,2875,-7.218783855438232,0.0003,-0.1973227560520172,0.5467708706855774,36.689605712890625
128,3072,53.55808391000001,31,24.0,96,2971,-6.781999588012695,0.0003,-0.3617316782474518,0.5337457656860352,5.3850555419921875
132,3168,54.33889812,31,24.0,99,3067,-8.399567604064941,0.0003,-0.3255288004875183,0.5206999778747559,4.958325386047363
136,3264,55.09864431999999,31,24.0,102,3163,-9.874930381774902,0.0003,-0.36157360672950745,0.507777214050293,40.30516052246094
140,3360,55.95972717999998,31,24.0,106,3259,-7.722889423370361,0.0003,-0.3279147446155548,0.4956519305706024,5.712468147277832
144,3456,56.258175030000004,31,24.0,109,3355,-7.154293537139893,0.0003,-0.3383660912513733,0.48332297801971436,5.819210052490234
148,3552,56.32889479000001,31,24.0,112,3451,-4.48998498916626,0.0003,-0.4384838342666626,0.4719621539115906,6.496539115905762
152,3648,55.863374409999984,31,24.0,115,3547,-5.419806480407715,0.0003,-0.5155990719795227,0.4604049324989319,4.853597164154053
156,3744,56.081919400000004,31,24.0,118,3643,-8.899033546447754,0.0003,-0.3962058424949646,0.448551207780838,5.466497421264648
160,3840,55.56580784,31,24.0,121,3739,-8.042501449584961,0.0003,-0.37739524245262146,0.4371618926525116,7.909993648529053
164,3936,55.37402465,31,24.0,124,3835,-5.630828380584717,0.0003,-0.4000508487224579,0.42588961124420166,33.29076385498047
168,4032,55.414300669999996,31,24.0,127,3931,-5.82649564743042,0.0003,-0.3927149772644043,0.4148884117603302,7.292049884796143
172,4128,56.503100620000005,31,24.0,130,4027,-5.987278938293457,0.0003,-0.514986515045166,0.40426793694496155,4.319031715393066
176,4224,56.636847919999994,31,24.0,133,4123,-5.516157150268555,0.0003,-0.47426965832710266,0.3935679793357849,3.349224090576172
180,4320,57.53642424,31,24.0,136,4219,-7.081518173217773,0.0003,-0.4509626626968384,0.383179634809494,8.848743438720703
184,4416,56.69010116999999,31,24.0,139,4315,-6.54972505569458,0.0003,-0.5479984283447266,0.3729460835456848,50.2703857421875
188,4512,56.82954629999999,31,24.0,142,4411,-5.904554843902588,0.0003,-0.478983998298645,0.3635219931602478,5.751705169677734
192,4608,57.75108843,31,24.0,145,4507,-6.793550491333008,0.0003,-0.6969477534294128,0.3540777862071991,5.670527458190918
196,4704,57.47056635999999,31,24.0,149,4603,-6.244864463806152,0.0003,-0.49089041352272034,0.3445335626602173,4.303144454956055
200,4800,56.42595034,31,24.0,152,4699,-5.11002779006958,0.0003,-0.49741894006729126,0.33526864647865295,3.5187644958496094
204,4896,56.72495605,31,24.0,155,4795,-8.409366607666016,0.0003,-0.5119063854217529,0.32661139965057373,5.9619550704956055
208,4992,55.957270720000004,31,24.0,158,4891,-7.25022029876709,0.0003,-0.4793335199356079,0.31823739409446716,12.295494079589844
212,5088,56.366090620000016,31,24.0,161,4987,-4.186451435089111,0.0003,-0.46720069646835327,0.309981107711792,6.014481067657471
216,5184,55.72922088999999,31,24.0,164,5083,-6.644616603851318,0.0003,-0.5185782313346863,0.3017614185810089,4.175561904907227
220,5280,56.551843780000006,31,24.0,167,5179,-3.3825695514678955,0.0003,-0.49779319763183594,0.29391756653785706,5.534787654876709
224,5376,56.625545839999994,31,24.0,170,5275,-5.521024703979492,0.0003,-0.5979748964309692,0.2866671085357666,2.81097412109375
228,5472,57.158330840000005,31,24.0,173,5371,-5.767219066619873,0.0003,-0.7440614104270935,0.27964794635772705,6.632965087890625
232,5568,56.55405900999998,31,24.0,177,5467,-6.670186519622803,0.0003,-0.5723767876625061,0.27235859632492065,3.3819212913513184
236,5664,56.471503520000006,31,24.0,180,5563,-5.4793853759765625,0.0003,-0.7667030692100525,0.2652292251586914,12.530820846557617
240,5760,55.89365270000001,31,24.0,183,5659,-6.2705230712890625,0.0003,-0.49953988194465637,0.2589445114135742,4.594969749450684
244,5856,56.35802366000001,31,24.0,186,5755,-4.4296393394470215,0.0003,-0.696541965007782,0.25233137607574463,5.737780570983887
248,5952,56.70651138000001,31,24.0,189,5851,-5.02631950378418,0.0003,-0.4018875062465668,0.24577532708644867,4.457367897033691
252,6048,57.36584400000001,31,24.0,192,5947,-3.892770528793335,0.0003,-0.5005003809928894,0.2393668293952942,29.879749298095703
256,6144,57.52573981,31,24.0,195,6043,-6.510826587677002,0.0003,-0.7182677388191223,0.23332849144935608,8.30823802947998
260,6240,57.91330292,31,24.0,198,6139,-7.560191631317139,0.0003,-0.360896497964859,0.2284441739320755,8.741385459899902
264,6336,58.6687411,31,24.0,201,6235,-4.770947456359863,0.0003,-0.7722963094711304,0.22340898215770721,5.932093620300293
268,6432,59.05032046,31,24.0,204,6331,-7.446225643157959,0.0003,-0.42306607961654663,0.21784591674804688,9.250149726867676
272,6528,58.64078511999999,31,24.0,207,6427,-4.975286483764648,0.0003,-0.7977808117866516,0.21312619745731354,4.026542663574219
276,6624,59.56586144999999,31,24.0,210,6523,-8.174966812133789,0.0003,-0.5367977619171143,0.20793358981609344,5.460592269897461
280,6720,60.79343419999999,31,24.0,214,6619,-8.918002128601074,0.0003,-0.4187507927417755,0.20341287553310394,6.561497211456299
284,6816,62.079664029999996,31,24.0,217,6715,-7.643719673156738,0.0003,-0.1254732310771942,0.19856086373329163,6.577789306640625
288,6912,62.12099566000002,31,24.0,220,6811,-5.640646934509277,0.0003,-0.6764412522315979,0.1938236504793167,22.52191162109375
