#{"t_start": 1745836911.2286165, "env_id": "None"}
r,l,t
9.315264,24,9.233208
-79.859095,24,9.277212
6.277357,24,9.321217
-59.534177,24,9.405223
-134.167114,24,9.462228
-133.626796,24,9.519234
-49.325233,24,9.576237
-75.402581,24,9.629243
57.942369,24,9.675245
-26.360886,24,9.72025
-139.766469,24,9.761252
-12.066386,24,9.826258
17.306271,24,9.891264
-52.881079,24,9.965269
-27.517584,24,10.017273
-49.262248,24,10.075279
-13.463864,24,10.121283
-9.58689,24,10.183289
-96.108964,24,10.268295
-133.802966,24,10.325301
-74.86127,24,10.493315
-59.219655,24,10.564321
-76.315612,24,10.648328
-28.682476,24,10.719332
-81.512654,24,10.856345
-73.171433,24,10.904351
-69.184892,24,10.969354
-110.447559,24,11.016363
-51.144619,24,11.067362
-47.127812,24,11.130369
-59.551951,24,11.204374
-84.265946,24,11.27938
-81.52969,24,11.347388
-68.851657,24,11.414394
-74.129036,24,11.480398
-57.765857,24,11.526403
-102.33724,24,11.576406
-59.134295,24,11.645462
-54.288981,24,11.691725
-77.229973,24,11.764277
-105.696508,24,11.851478
-79.91966,24,11.924486
-13.474944,24,11.97549
-54.742575,24,12.026752
-79.793479,24,12.066247
-67.42444,24,12.11927
-83.951173,24,12.20355
-86.692844,24,12.255597
-73.913381,24,12.306233
-65.220221,24,12.353729
-78.569377,24,12.394325
-64.088578,24,12.436419
-66.800535,24,12.483524
-76.584654,24,12.550598
-109.509454,24,12.617604
-63.712162,24,12.715612
-16.279505,24,12.82862
-128.400799,24,12.922629
-16.408759,24,12.982635
-63.814236,24,13.049641
-59.415768,24,13.18165
-84.668738,24,13.249657
-161.088636,24,13.303661
-120.425391,24,13.408673
-110.164539,24,13.457675
-70.844599,24,13.509679
-55.225368,24,13.563685
-113.72592,24,13.610687
-116.251972,24,13.655691
-75.995232,24,13.747699
-128.315518,24,13.831706
-47.051056,24,13.883709
-75.728449,24,13.939127
-99.431449,24,13.985779
-87.973451,24,14.024895
-92.002492,24,14.055222
-104.190281,24,14.096368
-81.512654,24,14.143633
-64.599831,24,14.194907
-71.510321,24,14.253963
23.688,24,14.350998
64.0944,24,14.398001
46.7424,24,14.443005
47.9808,24,14.48701
