time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
4,96,-137.31085225,968,24.0,0,,,,,,
8,192,-51.327500875000005,55,24.0,3,91,37.192100524902344,0.0003,-0.2529851198196411,1.0272929668426514,461.8470458984375
12,288,-14.342733916666672,42,24.0,6,187,25.68398666381836,0.0003,-0.5212322473526001,1.0572643280029297,137.50782775878906
16,384,3.2118495624999994,38,24.0,9,283,34.23762130737305,0.0003,-0.7974475622177124,1.0881565809249878,62.910400390625
20,480,13.231239650000001,36,24.0,12,379,39.605796813964844,0.0003,-1.0744688510894775,1.1199181079864502,50.008079528808594
24,576,21.181633041666668,35,24.0,16,475,45.537940979003906,0.0003,-1.3362171649932861,1.1526137590408325,69.75094604492188
28,672,25.499685464285715,34,24.0,19,571,50.88554763793945,0.0003,-1.597581386566162,1.186275601387024,47.90313720703125
32,768,28.011924781250002,34,24.0,22,667,59.9024543762207,0.0003,-1.8720803260803223,1.220935583114624,106.14501953125
36,864,29.906688694444444,33,24.0,25,763,62.70069885253906,0.0003,-2.1485822200775146,1.2565957307815552,112.95941162109375
40,960,32.258419825,33,24.0,28,859,71.16677856445312,0.0003,-2.42370343208313,1.2933224439620972,111.16816711425781
44,1056,32.744854386363635,33,24.0,31,955,75.9149169921875,0.0003,-2.717721939086914,1.3310949802398682,122.00823974609375
48,1152,34.552716520833336,33,24.0,34,1051,82.23836517333984,0.0003,-2.9586315155029297,1.3699990510940552,136.44091796875
52,1248,36.01958448076923,33,24.0,37,1147,86.10481262207031,0.0003,-3.2164504528045654,1.4100303649902344,198.82962036132812
56,1344,37.27072844642857,33,24.0,40,1243,93.47618103027344,0.0003,-3.471688985824585,1.4512184858322144,195.18484497070312
60,1440,39.05537321666667,33,24.0,43,1339,99.53578186035156,0.0003,-3.7625510692596436,1.4936169385910034,259.4898681640625
64,1536,40.354587390625,33,24.0,46,1435,105.78278350830078,0.0003,-4.007419586181641,1.53726065158844,342.6093444824219
68,1632,40.88704695588235,33,24.0,49,1531,116.49143981933594,0.0003,-4.308511734008789,1.5821468830108643,221.14801025390625
72,1728,41.36494434722223,32,24.0,52,1627,117.63838195800781,0.0003,-4.564510822296143,1.6283621788024902,224.62071228027344
76,1824,42.202936750000006,32,24.0,55,1723,124.99752807617188,0.0003,-4.8282790184021,1.675922155380249,289.81903076171875
80,1920,42.9585699125,32,24.0,58,1819,131.46031188964844,0.0003,-4.7305073738098145,1.723994493484497,351.6925048828125
84,2016,42.556512726190476,32,24.0,61,1915,139.15966796875,0.0003,-5.197670936584473,1.7691636085510254,588.0174560546875
